flux_flux, , dq1_flux, , dq2_flux, 
r, sig, r, sig, r, sig
  0.41698,  0.01141, -0.55160,  0.00049, -0.14115,  0.41157
  0.70125,  0.00000, -0.23184,  0.17365, -0.02210,  0.89819
