atl ind pac arc sou
 -0.19251  -0.21652   0.17462   0.11472   0.05015  -0.00032  -0.28710  -0.26569  -0.39998
 -0.22016  -0.15511   0.17602   0.10973   0.05514  -0.00587  -0.31554  -0.29874  -0.40031
 -0.18017  -0.15105   0.23477   0.11221   0.04926   0.00154  -0.29063  -0.29183  -0.38093
 -0.22044  -0.17598   0.20891   0.13406   0.04410  -0.00433  -0.30934  -0.27567  -0.36656
 -0.18930  -0.14833   0.12159   0.14654   0.03747  -0.01229  -0.33742  -0.30048  -0.36841
 -0.20866  -0.21237   0.14917   0.11398   0.03562   0.00628  -0.31412  -0.27382  -0.36239
 -0.23196  -0.18201   0.23789   0.10622   0.03764   0.01537  -0.29076  -0.24908  -0.39125
 -0.24905  -0.17831   0.20803   0.11583   0.04045   0.00505  -0.32998  -0.27886  -0.39056
 -0.26152  -0.16334   0.12313   0.10389   0.05987   0.00137  -0.30726  -0.31175  -0.37309
 -0.21704  -0.16813   0.12992   0.10218   0.06171   0.00317  -0.25854  -0.27351  -0.38197
 -0.22602  -0.15502   0.21019   0.12887   0.03913   0.01826  -0.25694  -0.25020  -0.39150
 -0.25892  -0.15650   0.21845   0.13935   0.03389  -0.00187  -0.28983  -0.27242  -0.39959
 -0.24477  -0.14812   0.18339   0.11266   0.04580   0.00548  -0.30100  -0.27035  -0.39340
 -0.23002  -0.15163   0.15797   0.10795   0.06121   0.00881  -0.32385  -0.29842  -0.36728
 -0.21555  -0.16633   0.10900   0.11407   0.05213   0.00756  -0.28030  -0.28551  -0.36090
 -0.27196  -0.16977   0.13874   0.11976   0.04498   0.00858  -0.28590  -0.25685  -0.37634
 -0.13796  -0.14069   0.10810   0.11868   0.04720  -0.01121  -0.26347  -0.28980  -0.36451
 -0.21469  -0.12581   0.13041   0.11351   0.04633   0.01161  -0.25382  -0.29473  -0.41332
 -0.20459  -0.13286   0.17220   0.11240   0.04998   0.00338  -0.30662  -0.26224  -0.35901
 -0.22613  -0.13924   0.03277   0.13201   0.04278  -0.01013  -0.26671  -0.32212  -0.38593
 -0.20942  -0.21197   0.20763   0.11981   0.04235  -0.00693  -0.22927  -0.22270  -0.38116
 -0.26708  -0.15926   0.17756   0.12072   0.03328   0.00468  -0.27217  -0.23233  -0.36976
 -0.26756  -0.13399   0.20097   0.12402   0.04189  -0.00060  -0.27290  -0.26720  -0.34916
 -0.27994  -0.20098   0.14410   0.10991   0.05055   0.00984  -0.31300  -0.25440  -0.38576
 -0.23934  -0.18258   0.10048   0.10896   0.05648   0.01279  -0.28039  -0.26877  -0.35739
 -0.25733  -0.20014   0.10270   0.10483   0.05723   0.00827  -0.29060  -0.25913  -0.39767
 -0.16897  -0.17111   0.16451   0.10849   0.04436   0.00785  -0.27780  -0.31205  -0.34735
 -0.25793  -0.21160   0.11364   0.12212   0.05630   0.01486  -0.30955  -0.25259  -0.39465
 -0.24170  -0.18810   0.10315   0.12895   0.04777   0.00354  -0.31114  -0.27872  -0.39067
 -0.20083  -0.20758   0.13922   0.12818   0.03863   0.01399  -0.25728  -0.25813  -0.39035
 -0.26640  -0.18397   0.24072   0.09847   0.06100   0.01355  -0.27597  -0.26478  -0.40464
 -0.15687  -0.16249   0.04744   0.12885   0.05431  -0.00634  -0.28645  -0.27492  -0.41449
 -0.17945  -0.13385   0.16704   0.12073   0.05736  -0.00919  -0.27664  -0.25671  -0.41882
 -0.26693  -0.11594   0.23428   0.11656   0.03530   0.02157  -0.31153  -0.26519  -0.39754
 -0.27581  -0.11439   0.18474   0.09691   0.04951   0.02696  -0.29203  -0.27970  -0.41146
 -0.28717  -0.14086   0.15791   0.10258   0.04721   0.01512  -0.33373  -0.28442  -0.41245
