 -0.20278, -0.06291
 -0.20205, -0.09669
 -0.19758, -0.09424
 -0.22488, -0.05078
 -0.20868, -0.09180
 -0.19618, -0.07764
 -0.19127, -0.05781
 -0.20081, -0.07804
 -0.22868, -0.08307
 -0.20686, -0.06665
 -0.19189, -0.05832
 -0.20580, -0.06662
 -0.20058, -0.06976
 -0.18756, -0.11087
 -0.21014, -0.07537
 -0.22910, -0.02775
 -0.20144, -0.08836
 -0.20150, -0.09323
 -0.20938, -0.05285
 -0.21725, -0.10488
 -0.17206, -0.05063
 -0.16735, -0.06498
 -0.18243, -0.08477
 -0.19139, -0.06302
 -0.17725, -0.09151
 -0.17302, -0.08611
 -0.20624, -0.10582
 -0.22649, -0.02610
 -0.20317, -0.07554
 -0.20097, -0.05717
 -0.20784, -0.05693
 -0.22708, -0.04784
 -0.20638, -0.05032
 -0.21859, -0.04660
 -0.20560, -0.07409
 -0.23412, -0.05030
