 -0.01648, -0.27063
 -0.03700, -0.27855
 -0.04303, -0.24760
 -0.04170, -0.26764
 -0.03154, -0.30588
 -0.03021, -0.28391
 -0.02431, -0.26645
 -0.03999, -0.29000
 -0.01016, -0.29710
  0.00466, -0.26321
 -0.02140, -0.23554
 -0.02743, -0.26240
 -0.03058, -0.27042
 -0.03415, -0.28971
 -0.00512, -0.27518
 -0.01315, -0.27275
  0.00697, -0.27044
 -0.03543, -0.21839
 -0.03126, -0.27536
 -0.00413, -0.26258
 -0.00481, -0.22446
 -0.01735, -0.25482
 -0.04201, -0.23088
 -0.03008, -0.28292
 -0.01229, -0.26810
 -0.03065, -0.25995
 -0.01621, -0.26159
 -0.03272, -0.27683
 -0.02476, -0.28638
 -0.02007, -0.23721
 -0.02194, -0.25404
 -0.01871, -0.26774
 -0.02531, -0.25133
 -0.03587, -0.27566
 -0.02111, -0.27092
 -0.05253, -0.28120
