 -0.07247, -0.06033,  0.12090
 -0.07645, -0.03796,  0.10889
 -0.07430, -0.03873,  0.11276
 -0.07245, -0.03580,  0.09741
 -0.07488, -0.02926,  0.09215
 -0.07864, -0.01841,  0.09215
 -0.07579, -0.02258,  0.10732
 -0.06692, -0.04655,  0.11277
 -0.08561, -0.03602,  0.11870
 -0.07608, -0.03591,  0.11398
 -0.06451, -0.05206,  0.11649
 -0.07664, -0.04706,  0.10808
 -0.06954, -0.03138,  0.10568
 -0.06595, -0.05442,  0.11335
 -0.07447, -0.03534,  0.11021
 -0.06832, -0.05012,  0.12055
 -0.06864, -0.04725,  0.09740
 -0.06850, -0.03438,  0.09028
 -0.05800, -0.05406,  0.10377
 -0.07837, -0.05235,  0.11761
 -0.06157, -0.06394,  0.11244
 -0.06199, -0.04705,  0.10879
 -0.05945, -0.05377,  0.10848
 -0.05708, -0.05347,  0.11222
 -0.07101, -0.03513,  0.11523
 -0.06386, -0.05442,  0.10804
 -0.06447, -0.04578,  0.10994
 -0.07209, -0.03842,  0.11414
 -0.05389, -0.05133,  0.10149
 -0.06189, -0.03018,  0.10586
 -0.06630, -0.03774,  0.10759
 -0.06309, -0.04128,  0.09303
 -0.05962, -0.05153,  0.10701
 -0.06136, -0.02772,  0.10553
 -0.07339, -0.02362,  0.11540
 -0.06088, -0.03951,  0.10732
